1,vulnerable,傷つきやすい、もろい、弱い立場の
2,heed,注意を払う、気をつける
3,bystander,傍観者、居合わせた人
4,congestion,混雑、渋滞
5,discard,捨てる、処分する
6,blaze,炎、燃えさかる火、燃え立つ
7,clumsy,不器用な、ぎこちない
8,eliminate,取り除く、排除する
9,acknowledge,認める、感謝する
10,edible,食用に適した、食べられる
11,cultivate,耕す、栽培する、育てる・磨く
12,overdue,期限を過ぎた、延滞した
13,enrollment,登録、入学・入会（者数）
14,enlist,入隊する、協力を求める・得る
15,anarchy,無政府状態、混乱状態
16,reluctant,気が進まない、しぶしぶの
17,fragile,壊れやすい、もろい、か弱い
18,evaluate,評価する、見積もる
19,resume,再開する、履歴書（レジュメ）
20,weary,疲れ果てた、うんざりした
21,custody,拘留、身柄の保護、親権
22,coalition,連立、同盟
23,tranquil,静かな、穏やかな
24,enforce,施行する、実行させる、強制する
25,disguise,変装させる、偽る、変装
26,surplus,余り、余剰
27,petition,嘆願（書）、要望書、嘆願する
28,habitual,習慣的な、常習の
29,vacant,空いている、空席の、空室の
30,daring,大胆な、思い切った
31,thrive,繁栄する、うまくやる、すくすく育つ
32,compartment,区画、仕切られた部分
33,accelerate,加速する、速度を上げる
34,descendant,子孫、後裔
35,decay,腐る、衰退する、腐敗・衰退
36,refine,洗練する、精製する
37,swell,膨らむ、増大する
38,segment,部分、区分、一片
39,bribe,賄賂、賄賂を送る
40,obsessed,取りつかれた、頭がいっぱいの
41,uphold,支持する、維持する
42,overthrow,転覆させる、打倒する
43,itinerary,旅程、行程表
44,faint,かすかな、気絶する、気絶
45,explicit,明白な、はっきり述べられた
46,lenient,寛大な、甘い
47,contemplate,熟考する、じっと考える
48,presume,推定する、〜と思い込む
49,bulky,かさばる、大きくて扱いにくい
50,concede,認める、譲歩する
51,shrug,肩をすくめる
52,reconstruct,再建する、復元する
53,barricade,バリケード、障害物でふさぐ
54,extravagant,浪費する、ぜいたくな、大げさな
55,reconcile,和解させる、調和させる
56,exempt,免除された、免除する
57,stroll,ぶらぶら歩く、散歩する、散歩
58,notorious,悪名高い、評判の悪い
59,enhance,高める、強化する
60,signify,意味する、示す
61,hectic,非常に忙しい、慌ただしい
62,vivid,鮮やかな、生き生きとした
63,intact,無傷の、完全なままの
64,conform,従う、一致する、順応する
65,sway,揺れる、揺らす、影響を与える
66,hasty,早まった、軽率な、急いだ
67,rotate,回転する、交代でする
68,decisive,決定的な、断固とした
69,trivial,ささいな、取るに足らない
70,detain,拘留する、引き止める
71,vicious,残忍な、悪質な、悪意のある
72,revolve,回転する、巡る
73,summon,召喚する、呼び出す、呼び集める
74,corrupt,堕落した、腐敗した、買収する
75,spontaneous,自発的な、自然に起こる
76,stale,古くなった、鮮度の落ちた、マンネリの
77,proclaim,宣言する、公表する
78,cherish,大事にする、胸に抱く
79,fictitious,架空の、偽りの
80,rash,軽率な、早まった、発疹
81,serene,穏やかな、静かな
82,ransom,身代金、身代金を払って解放する
83,witty,機知に富んだ、気の利いた
84,thaw,解ける、雪解けする、解凍する
85,adequate,十分な、適切な
86,minor,ささいな、重要でない、未成年者
87,obstacle,障害、妨げ
88,mandatory,義務的な、強制の
89,nutritious,栄養のある
90,impractical,非現実的な、実用的でない
91,optimistic,楽観的な
92,perspective,観点、見方、遠近法
93,tackle,取り組む、タックルする
94,merit,長所、功績、価値
95,halt,停止する、止める、停止
96,designate,指名する、指定する
97,bankrupt,破産した、破産者
98,abundant,豊富な、たくさんの
99,exceptional,例外的な、非常に優れた
100,integrate,統合する、溶け込ませる
101,assess,評価する、査定する
102,raid,急襲、ガサ入れ、急襲する
103,betray,裏切る、漏らす
104,altitude,高度、標高
105,offset,相殺する、埋め合わせる
106,discontent,不満、不満な
107,inefficient,非効率的な
108,unanimously,満場一致で、全会一致で
109,prestigious,名声のある、権威ある
110,complication,合併症、厄介な問題・複雑化
111,milestone,画期的な出来事、重要な節目
112,portray,描写する、描く、演じる
113,fatality,死亡者、死亡事故
114,tempting,魅力的な、誘惑的な
115,inmate,収容者、囚人・入院患者など
116,detour,回り道、迂回路
117,dedicated,献身的な、専用の
118,relic,遺物、名残、遺跡
119,compulsory,義務的な、強制の
120,dehydration,脱水（症）
121,liberate,解放する、自由にする
122,perilous,危険な、危険に満ちた
123,biographical,伝記の、伝記的な
124,filthy,汚い、不潔な
125,accord,一致、合意、与える、一致する
126,binding,拘束力のある、縛る
127,comply,従う、応じる
128,stunned,ぼう然とした、ショックを受けた
129,invalid,無効な、病弱な・病人
130,intruder,侵入者
131,unveil,明らかにする、公開する、ベールを取る
132,tedious,退屈な、長くてうんざりする
133,clarify,明らかにする、はっきりさせる
134,commend,ほめる、称賛する、推薦する
135,intrigued,好奇心をそそられた、興味津々の
136,wither,しおれる、弱まる・しぼむ
137,escort,護衛（する）、付き添い
138,scarcity,不足、欠乏
139,precision,正確さ、精度
140,gulp,ごくりと飲む、息をのむ
141,interrogate,尋問する、問いただす
142,composed,落ち着いた、平静な
143,vocation,天職、職業への適性・使命感
144,correlation,相関関係
145,obsolete,時代遅れの、廃れた
146,skeptical,懐疑的な、疑い深い
147,unwittingly,知らず知らずに、無意識に
148,abridged,要約版の、短縮された
149,irresistible,抵抗できないほど魅力的な
150,correspondence,文通、往復書簡、一致・対応
151,destined,運命づけられた、〜行きの
152,perish,死ぬ、滅びる
153,expire,期限が切れる、失効する
154,spacious,広々とした
155,transmit,送る、伝える・伝送する
156,encounter,出会う、直面する、出会い
157,conventional,従来型の、慣習的な
158,lease,賃貸借契約、賃貸する
159,division,分割、区分、部門
160,strain,負担、緊張、（植物・動物の）系統・種類
161,administer,管理する、運営する、（薬を）投与する
162,notify,通知する、知らせる
163,transplant,移植する、移植
164,certify,証明する、認定する
165,assumption,仮定、前提、思い込み
166,provoke,引き起こす、怒らせる、刺激する
167,literacy,読み書き能力、識字
168,retreat,退却する、後退する、静養・研修の合宿
169,novelty,目新しさ、珍しいもの・新奇な商品
170,exclusive,排他的な、独占的な、高級な
171,mimic,まねる、模倣する
172,resent,憤慨する、腹を立てる
173,prejudice,偏見、先入観
174,seize,つかむ、押収する、差し押さえる
175,divine,神の、神聖な、見抜く・予見する
176,incorporate,組み込む、法人化する、取り入れる
177,surpass,上回る、超える
178,impulse,衝動、刺激
179,biased,偏った、偏見をもった
180,barren,不毛の、実りのない
181,inflict,（苦痛・損害などを）与える、負わせる
182,blockade,封鎖、封鎖する
183,clutch,ぎゅっとつかむ、しっかり握る
184,refuge,避難所、保護
185,demote,降格させる、格下げする
186,fragrant,よい香りの、芳香のある
187,mingle,混ざる、人と打ち解けて交わる
188,temperament,気質、気性
189,stubborn,頑固な、しつこい
190,unfold,広げる、展開する、明らかになる
191,formulate,明確に述べる、立案する・まとめる
192,contemporary,現代の、同時代の、同時代の人
193,redundant,余分な、冗長な、（英）解雇された
194,obstruct,妨害する、ふさぐ
195,guardian,保護者、後見人
196,token,しるし、象徴、（小額の）商品券・トークン
197,omit,省く、抜かす
198,conclusive,決定的な、最終的な
199,obedient,従順な、言うことをよく聞く
200,sacred,神聖な、かけがえのない
201,testify,証言する、証明する
202,affluent,裕福な、豊かな
203,transparent,透明な、見え透いた・明白な
204,ration,一定量に配給する、配給量
205,cozy,居心地のよい、こぢんまりした
206,brutal,残酷な、ひどく厳しい
207,inventive,創意に富んだ、発明好きの
