番号,単語,名詞,動詞,形容詞,副詞,接続詞,前置詞
801,pass,入場許可証、パス,通る、(時が)たつ、~を手渡す、(~に)合格する,,,,
802,bank,銀行、土手,,,,,
803,bicycle,自転車,,,,,
804,radio,ラジオ,,,,,
805,department store,デパート、百貨店,,,,,
806,convenience store,コンビニエンスストア,,,,,
807,convenient,,,便利な、好都合な,,,
808,jacket,上着、ジャケット,,,,,
809,noise,物音、騒音,,,,,
810,noisy,,,騒がしい、うるさい,,,
811,outside,外側,,外側の,外側に,,~の外側に
812,inside,内側,,内側の,内側に,,~の内側に
813,either,,,,~もまた(...ない),,
814,surprise,驚き,~を驚かす、びっくりさせる,,,,
815,peace,平和,,,,,
816,police,警察,,,,,
817,experience,経験、体験,~を経験する,,,,
818,part,部分、一部,,,,,
819,area,地域、地方、面積,,,,,
820,field,畑、野原,,,,,
821,space,空間、スペース、宇宙,,,,,
822,fact,事実、現実,,,,,
823,absent,,,欠席して、不在の,,,
824,enough,,,十分な,十分に,,
825,such,,,そのような,,,
826,even,,,,~でさえ、さらに,,
827,myself,私自身,,,,,
828,yourself,あなた自身,,,,,
829,herself,彼女自身,,,,,
830,himself,彼自身,,,,,
831,itself,それ自身,,,,,
832,ourselves,私たち自身,,,,,
833,yourselves,あなたたち自身,,,,,
834,themselves,彼ら自身,,,,,
835,clear,,,はっきりした、明らかな、澄んだ、晴れた,,,
836,clearly,,,,はっきりと、明らかに,,
837,real,,,本当の、現実の,,,
838,reality,現実,,,,,
839,village,村,,,,,
840,wake,,目が覚める、~を起こす,,,,
841,less,,,より少ない,より少なく,,
842,least,,,最も少ない,最も少なく,,
843,cheap,,,安い,,,
844,price,価格、値段,,,,,
845,everywhere,,,,どこでも、いたるところで,,
846,anywhere,,,,どこかに、どこにも、どこへでも,,
847,somewhere,,,,どこかに,,
848,someday,,,,いつか、そのうち,,
849,forever,,,,永久に、永遠に,,
850,difference,違い、差,,,,,
851,pride,誇り、自尊心,,,,,
852,proud,,,誇りに思う,,,
853,smell,におい,においがする、~のにおいをかぐ,,,,
854,happen,,起こる,,,,
855,explain,,(~を)説明する,,,,
856,receive,,~を受け取る、受け取る,,,,
857,return,帰ること,帰る、戻る、~を返す,,,,
858,lend,,(~を)貸す,,,,
859,let,,(人)に~させる,,,,
860,sign,標識、看板、合図、身振り,(~に)署名する,,,,
861,report,報告、報告書,(~を)報告する、知らせる,,,,
862,menu,メニュー、献立表,,,,,
863,nervous,,,神経質な、緊張して、心配して,,,
864,lonely,,,さみしい、孤独な,,,
865,alone,,,ただ1人で,1人で、単独で,,
866,cover,本の表紙,~をおおう、~にふたをする,,,,
867,fill,,~を満たす、いっぱいにする,,,,
868,cause,原因、理由,~の原因となる、~を引き起こす,,,,
869,hurt,,~を傷つける、痛む,,,,
870,born,,(be born)で生まれる,,,,
871,disappointed,,,がっかりした、失望した,,,
872,accident,事故、偶然の出来事,,,,,
873,plant,植物、工場,~を植える,,,,
874,wood,木材、森,,,,,
875,wooden,,,木製の,,,
876,web,ウェブ、蜘蛛の巣,,,,,
877,site,用地、場所、サイト,,,,,
878,step,歩み、一歩、階段,,,,,
879,have,,持っている,,,,
880,been,,beの過去分詞,,,,
881,since,,,,,~してからずっと,~以来
882,ever,,,,今までに、これまでに、かつて,,
883,twice,,,,2度、2回,,
884,already,,,,すでに、もう,,
885,yet,,,,まだ、もう,,
886,done,,doの過去分詞,,,,
887,able,,,することができる,,,
888,human,人、人間,,人間の、人間的な,,,
889,dead,,,死んだ、死んでいる、枯れた,,,
890,death,死,,,,,
891,promise,約束,(~を)約束する,,,,
892,continue,,~を続ける、続く,,,,
893,save,,救う、蓄える,,,,
894,surprised,,,驚いた、びっくりした,,,
895,surprising,,,驚くべき、意外な,,,
896,dangerous,,,危険な、危ない,,,
897,safe,金庫,,安全な、安心な,,,
898,possible,,,可能な、ありうる,,,
899,impossible,,,不可能な、ありえない,,,
900,necessary,,,必要な、なくてはならない,,,
901,effort,努力,,,,,
902,boat,ボート、小型の船,,,,,
903,ship,大型の船,,,,,
904,afraid,,,恐れて、こわがって、心配して,,,
905,feeling,感情、気持ち、感覚,,,,,
906,living,生活、暮らし,,生きている,,,
907,beginning,初め、始まり,,,,,
908,goal,ゴール、目標,,,,,
909,type,型、タイプ、種類,,,,,
910,health,健康,,,,,
911,healthy,,,健康な、健康に良い,,,
912,reason,理由、理性,,,,,
913,machine,機械,,,,,
914,tradition,伝統,,,,,
915,traditional,,,伝統的な、伝統の,,,
916,helpful,,,助けになる、役に立つ,,,
917,burn,,燃える、焼ける、~を燃やす,,,,
918,lie,うそ,横になる、横たわる、うそをつく,,,,
919,solve,,~を解く、解決する,,,,
920,agree,,同意する、賛成する,,,,
921,disagree,,意見が合わない、同意しない,,,,
922,recycle,,再生利用する、リサイクルする,,,,
923,lady,婦人、女の人,,,,,
924,road,道路、道,,,,,
925,nation,国、国家,,,,,
926,national,,,国家の、国民の,,,
927,international,,,国際的な、国家間の,,,
928,final,,,最終の、最後の,,,
929,finally,,,,ついに、ようやく、最後に,,
930,who,関係代名詞,,,,,
931,which,関係代名詞,,,,,
932,gather,,~を集める、集まる,,,,
933,lead,,~を導く、案内する、通じる、つながる,,,,
934,shake,,~を振る、ゆさぶる、ゆれる,,,,
935,shoot,,~を撃つ,,,,
936,support,支持、支援、支え,~を支持する、支援する,,,,
937,exam,試験,,,,,
938,course,進路、コース,,,,,
939,college,大学,,,,,
940,elementary,,,初歩の、初等の,,,
941,seat,席、座席,,,,,
942,that,関係代名詞,,,,,
943,whom,だれを,,,,,
944,share,,~を分け合う、共有する,,,,
945,drop,,落ちる、~を落とす,,,,
946,musical,ミュージカル,,音楽の,,,
947,musician,音楽家,,,,,
948,natural,,,自然の、当然の,,,
949,nature,自然、自然界、性質,,,,,
950,order,命令、注文,~を命令する、~を注文する,,,,
951,produce,産物,~を生産する,,,,
952,product,製品、生産物,,,,,
953,matter,問題、事柄,重要である、問題である,,,,
954,wonder,驚き、不思議,~かしらと思う、不思議に思う,,,,
955,line,線、路線、列,,,,,
956,age,年齢、年代,,,,,
957,island,島,,,,,
958,picnic,ピクニック、遠足,,,,,
959,lunchtime,昼食時間,,,,,
960,communicate,,伝達する、伝え合う,,,,
961,communication,コミュニケーション、意思伝達,,,,,
962,air,空気、空中、空,,,,,
963,airport,空港,,,,,
964,airplane,飛行機,,,,,
965,though,,,,,~だけれども,
966,although,,,,,~だけれども,
967,rise,上昇、増加,上がる、昇る、起きる,,,,
968,set,一組,~を置く、セットする、沈む,,,,
969,belong,,~のものである、~に所属している,,,,
970,above,,,,,上に,~の上に
971,below,,,,,下に,~の下に
972,across,,,,,,~を横切って、~の向こう側に
973,beside,,,,,,~のそばに
